Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Mar 13 15:00:45 EST 2021,AReplayer.java,1615665645763,11253,0,(I)15,1.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,1.3636363636363635,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Mar 13 15:00:45 EST 2021,AReplayer.java, 1615665645763
2,,Sat Mar 13 15:00:57 EST 2021,AReplayer.java,1615665657281,2661,2661,(I)5(R)3(I)5,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,1.5,5.0,0.0,[]
3,,Sat Mar 13 15:00:59 EST 2021,AReplayer.java,1615665659961,35379,0,(I)4(F)2(I)1(F)2(I)9,0.7777777777777778,0.0,0.0,22.22222222222222,0.0,0.0,0.5142857142857142,0.0,0.0,0.11428571428571428,0.0,0.0,0.4,0.0,[]
4,,Sat Mar 13 15:01:35 EST 2021,AReplayer.java,1615665695363,11675,0,(I)6(R)1(I)9,0.9375,0.0,0.0,0.0,0.0,0.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.09090909090909091,1.3636363636363635,0.0,[]
5,,Sat Mar 13 15:01:47 EST 2021,AReplayer.java,1615665707219,6134,6134,(I)1(R)1(I)9(R)3(I)9,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.6666666666666666,3.1666666666666665,0.0,[]
6,,Sat Mar 13 15:01:53 EST 2021,AReplayer.java,1615665713509,14355,0,(I)6(R)2(I)13,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.14285714285714285,1.3571428571428572,0.0,[]
7,,Sat Mar 13 15:02:10 EST 2021,AReplayer.java,1615665730573,20687,0,(I)10(R)1(I)7,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.05,0.85,0.0,[]
8,,Sat Mar 13 15:02:31 EST 2021,AReplayer.java,1615665751272,16561,0,(I)5(R)1(R I)2(I)6,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.1875,0.8125,0.0,[]
9,,Sat Mar 13 15:02:47 EST 2021,AReplayer.java,1615665767998,11830,0,(I)1(R)1(I)12(R I)1(I)2,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,1.5454545454545454,0.0,0.0,0.0,0.0,0.18181818181818182,1.4545454545454546,0.0,[]
10,,Sat Mar 13 15:03:05 EST 2021,AReplayer.java,1615665785767,8077,8077,(F)2(I)4(R)1(I)6(R)1(I)2(R)1(I)4(R)1(I)1(R)1(I)1,0.72,0.0,0.0,8.0,0.0,0.0,3.125,0.0,0.0,0.25,0.0,0.625,2.25,0.0,[]
11,,Sat Mar 13 15:03:14 EST 2021,AReplayer.java,1615665794973,9458,9458,(I)16,1.0,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,0.0,[]
12,,Sat Mar 13 15:03:24 EST 2021,AReplayer.java,1615665804682,7413,7413,(I)6(R I)1(I)6(R)1(I)2(R)1(I)4,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.42857142857142855,2.7142857142857144,0.0,[]
13,,Sat Mar 13 15:03:32 EST 2021,AReplayer.java,1615665812104,10989,0,(I)4(R I)1(I)2(R)1(I)1(R)2(I)5(F)2(I)1,0.7368421052631579,0.0,0.0,10.526315789473683,0.0,0.0,1.9,0.0,0.0,0.2,0.0,0.4,1.4,0.0,[]
14,,Sat Mar 13 15:03:48 EST 2021,AReplayer.java,1615665828172,22072,0,(R)1(I)2(R)1(I)3(R)1(I)1(R)1(I)1(R)1(I)2(R)1(I)1(F)2(I)1,0.5789473684210527,0.0,0.0,10.526315789473683,0.0,0.0,0.8636363636363636,0.0,0.0,0.09090909090909091,0.0,0.2727272727272727,0.5,0.0,[]
15,,Sat Mar 13 15:04:11 EST 2021,AReplayer.java,1615665851240,25789,0,(I)1(R I)1(I)1(R I)1(I)1(R I)1(I)1(R)3(I)5(R)1(I)4(R I)2(I)1(R I)2,0.84,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44,0.84,0.0,[]
16,,Sat Mar 13 15:04:37 EST 2021,AReplayer.java,1615665877191,24109,0,(R I)2(I)1(R)2(F)2(I)1(R)2(I)3(R)1(I)2(R)2(I)1(R I)1(I)1(F)2(I)1,0.5416666666666666,0.0,0.0,16.666666666666664,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.5416666666666666,0.0,[]
17,,Sat Mar 13 15:05:01 EST 2021,AReplayer.java,1615665901613,8139,8139,(I)1(F)2(I)1(R)1(I)1(R)3(I)1(R)1(I)1(R)1(I)1(R)3(I)1(R I)1(I)3,0.5,0.0,0.0,9.090909090909092,0.0,0.0,2.75,0.0,0.0,0.25,0.0,1.25,1.375,0.0,[]
18,,Sat Mar 13 15:05:19 EST 2021,AReplayer.java,1615665919693,65402,0,(F)1(I)3(F)1(I)15,0.9,0.0,0.0,10.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.03076923076923077,0.0,0.0,0.27692307692307694,0.0,[]
19,,Sat Mar 13 15:06:25 EST 2021,AReplayer.java,1615665985133,7358,7358,(I)1(R)1(I)12,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.8571428571428572,0.0,[]
